# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1409484	1409933	-						887055	Rv1261c	450		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1409484	1409933	-	NP_215777.1	WP_003406364.1		hypothetical protein		887055	Rv1261c	450	149	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1409938	1410372	-						887036	Rv1262c	435		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1409938	1410372	-	NP_215778.1	WP_003898798.1		hypothetical protein		887036	Rv1262c	435	144	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1410431	1411819	+					amiB2	887041	Rv1263	1389		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1410431	1411819	+	NP_215779.1	WP_003406369.1		amidase AmiB	amiB2	887041	Rv1263	1389	462	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1411894	1413087	+						887035	Rv1264	1194		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1411894	1413087	+	NP_215780.1	WP_003406372.1		adenylyl cyclase		887035	Rv1264	1194	397	
gene	ncRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413094	1413224	-					mcr11	14515855	RVnc0013	131		
ncRNA	other	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413094	1413224	-				Putative small regulatory RNA	mcr11	14515855	RVnc0013	131		
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413260	1413940	+						887058	Rv1265	681		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413260	1413940	+	NP_215781.1	WP_003406375.1		hypothetical protein		887058	Rv1265	681	226	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413960	1415840	-					pknH	887023	Rv1266c	1881		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1413960	1415840	-	NP_215782.1	WP_010886110.1		serine/threonine-protein kinase PknH	pknH	887023	Rv1266c	1881	626	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1416181	1417347	-					embR	887026	Rv1267c	1167		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1416181	1417347	-	NP_215783.1	WP_003406553.1		transcriptional regulator EmbR	embR	887026	Rv1267c	1167	388	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1417658	1418356	-						887033	Rv1268c	699		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1417658	1418356	-	NP_215784.1	WP_003898800.1		hypothetical protein		887033	Rv1268c	699	232	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1418579	1418953	-						887039	Rv1269c	375		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1418579	1418953	-	NP_215785.1	WP_003406558.1		hypothetical protein		887039	Rv1269c	375	124	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1419014	1419748	-					lprA	887017	Rv1270c	735		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1419014	1419748	-	NP_215786.1	WP_003406562.1		lipoprotein LprA	lprA	887017	Rv1270c	735	244	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1419961	1420302	-						887019	Rv1271c	342		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1419961	1420302	-	NP_215787.1	WP_003406566.1		hypothetical protein		887019	Rv1271c	342	113	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1420410	1422305	-						887021	Rv1272c	1896		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1420410	1422305	-	NP_215788.1	WP_003406569.1		drug ABC transporter ATP-binding protein		887021	Rv1272c	1896	631	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1422302	1424050	-						887025	Rv1273c	1749		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1422302	1424050	-	NP_215789.1	WP_003406574.1		drug ABC transporter ATP-binding protein		887025	Rv1273c	1749	582	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1424197	1424754	+					lprB	887011	Rv1274	558		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1424197	1424754	+	NP_215790.1	WP_003901123.1		lipoprotein LprB	lprB	887011	Rv1274	558	185	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1424751	1425293	+					lprC	887014	Rv1275	543		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1424751	1425293	+	NP_215791.1	WP_003900308.1		lipoprotein LprC	lprC	887014	Rv1275	543	180	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1425438	1425914	-						887000	Rv1276c	477		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1425438	1425914	-	NP_215792.1	WP_003406581.1		hypothetical protein		887000	Rv1276c	477	158	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1426164	1427417	+						887001	Rv1277	1254		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1426164	1427417	+	NP_215793.1	WP_003406584.1		hypothetical protein		887001	Rv1277	1254	417	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1427414	1430041	+						887005	Rv1278	2628		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1427414	1430041	+	NP_215794.1	WP_003898806.1		hypothetical protein		887005	Rv1278	2628	875	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1430062	1431648	+						887002	Rv1279	1587		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1430062	1431648	+	NP_215795.1	WP_003406598.1		GMC-type oxidoreductase		887002	Rv1279	1587	528	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1431665	1433440	-					oppA	886985	Rv1280c	1776		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1431665	1433440	-	NP_215796.1	WP_003900310.1		oligopeptide ABC transporter substrate-binding lipoprotein OppA	oppA	886985	Rv1280c	1776	591	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1433433	1435271	-					oppD	886997	Rv1281c	1839		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1433433	1435271	-	NP_215797.1	WP_003406602.1		oligopeptide ABC transporter ATP-binding protein OppD	oppD	886997	Rv1281c	1839	612	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1435268	1436143	-					oppC	886980	Rv1282c	876		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1435268	1436143	-	NP_215798.1	WP_003406607.1		oligopeptide ABC transporter permease OppC	oppC	886980	Rv1282c	876	291	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1436140	1437117	-					oppB	886981	Rv1283c	978		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1436140	1437117	-	NP_215799.1	WP_003406613.1		oligopeptide ABC transporter permease OppB	oppB	886981	Rv1283c	978	325	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1437324	1437815	+					canA	886987	Rv1284	492		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1437324	1437815	+	NP_215800.1	WP_003406616.1		beta-carbonic anhydrase	canA	886987	Rv1284	492	163	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1437909	1438907	+					cysD	886979	Rv1285	999		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1437909	1438907	+	NP_215801.1	WP_003406618.1		sulfate adenylyltransferase subunit 2	cysD	886979	Rv1285	999	332	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1438907	1440751	+						886978	Rv1286	1845		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1438907	1440751	+	NP_215802.1	WP_003406621.1		adenylyl-sulfate kinase		886978	Rv1286	1845	614	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1440805	1441290	+						886998	Rv1287	486		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1440805	1441290	+	NP_215803.1	WP_003406624.1		HTH-type transcriptional regulator		886998	Rv1287	486	161	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1441348	1442718	+						886974	Rv1288	1371		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1441348	1442718	+	NP_215804.1	WP_003406625.1		hypothetical protein		886974	Rv1288	1371	456	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1442767	1443399	+						886994	Rv1289	633		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1442767	1443399	+	NP_215805.1	WP_003406626.1		hypothetical protein		886994	Rv1289	633	210	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1443482	1445047	-						886971	Rv1290c	1566		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1443482	1445047	-	NP_215806.1	WP_003406627.1		hypothetical protein		886971	Rv1290c	1566	521	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1445058	1445372	+						3205114	Rv1290A	315		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1445058	1445372	+	YP_177642.1	WP_003406628.1		hypothetical protein		3205114	Rv1290A	315	104	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1445499	1445834	-						886975	Rv1291c	336		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1445499	1445834	-	NP_215807.1	WP_003406629.1		hypothetical protein		886975	Rv1291c	336	111	
gene	tRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1446193	1446265	-					argV	2700468	Rvnt18	73		
tRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1446193	1446265	-				tRNA-Arg	argV	2700468	Rvnt18	73		anticodon=CCG
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1446379	1448031	+					argS	886964	Rv1292	1653		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1446379	1448031	+	NP_215808.1	WP_003406630.1		arginine--tRNA ligase	argS	886964	Rv1292	1653	550	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1448028	1449371	+					lysA	886960	Rv1293	1344		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1448028	1449371	+	NP_215809.1	WP_003406632.1		diaminopimelate decarboxylase	lysA	886960	Rv1293	1344	447	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1449375	1450700	+					thrA	886962	Rv1294	1326		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1449375	1450700	+	NP_215810.1	WP_003406648.1		homoserine dehydrogenase	thrA	886962	Rv1294	1326	441	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1450697	1451779	+					thrC	886957	Rv1295	1083		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1450697	1451779	+	NP_215811.1	WP_003406652.1		threonine synthase	thrC	886957	Rv1295	1083	360	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1451997	1452947	+					thrB	886958	Rv1296	951		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1451997	1452947	+	NP_215812.1	WP_003406654.1		homoserine kinase	thrB	886958	Rv1296	951	316	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1453204	1455012	+					rho	886952	Rv1297	1809		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1453204	1455012	+	NP_215813.1	WP_003898814.1		transcription termination factor Rho	rho	886952	Rv1297	1809	602	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1455163	1455405	+					rpmE	886955	Rv1298	243		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1455163	1455405	+	NP_215814.1	WP_003406668.1		50S ribosomal protein L31	rpmE	886955	Rv1298	243	80	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1455495	1456568	+					prfA	886948	Rv1299	1074		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1455495	1456568	+	NP_215815.1	WP_003406670.1		peptide chain release factor PrfA	prfA	886948	Rv1299	1074	357	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1456565	1457542	+					hemK	886950	Rv1300	978		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1456565	1457542	+	NP_215816.1	WP_003911420.1		release factor glutamine methyltransferase	hemK	886950	Rv1300	978	325	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1457558	1458211	+						886970	Rv1301	654		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1457558	1458211	+	NP_215817.1	WP_003898815.1		threonylcarbamoyl-AMP synthase		886970	Rv1301	654	217	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1458295	1459509	+					rfe	886947	Rv1302	1215		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1458295	1459509	+	NP_215818.1	WP_003898816.1		decaprenyl-phosphate N-acetylglucosaminephosphotransferase	rfe	886947	Rv1302	1215	404	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1459766	1460251	+						886944	Rv1303	486		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1459766	1460251	+	NP_215819.1	WP_003406680.1		hypothetical protein		886944	Rv1303	486	161	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1460244	1460996	+					atpB	886941	Rv1304	753		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1460244	1460996	+	NP_215820.1	WP_003406681.1		ATP synthase subunit A	atpB	886941	Rv1304	753	250	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461045	1461290	+					atpE	886937	Rv1305	246		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461045	1461290	+	NP_215821.1	WP_003406686.1		ATP synthase subunit C	atpE	886937	Rv1305	246	81	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461321	1461836	+					atpF	886939	Rv1306	516		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461321	1461836	+	NP_215822.1	WP_003898818.1		ATP synthase subunit B	atpF	886939	Rv1306	516	171	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461843	1463183	+					atpH	886934	Rv1307	1341		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1461843	1463183	+	NP_215823.1	WP_003406697.1		ATP synthase subunit b/delta	atpH	886934	Rv1307	1341	446	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1463228	1464877	+					atpA	886936	Rv1308	1650		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1463228	1464877	+	NP_215824.1	WP_003406699.1		ATP synthase subunit alpha	atpA	886936	Rv1308	1650	549	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1464884	1465801	+					atpG	886929	Rv1309	918		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1464884	1465801	+	NP_215825.1	WP_003898819.1		ATP synthase subunit gamma	atpG	886929	Rv1309	918	305	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1465841	1467301	+					atpD	886932	Rv1310	1461		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1465841	1467301	+	NP_215826.1	WP_003406701.1		ATP synthase subunit beta	atpD	886932	Rv1310	1461	486	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1467315	1467680	+					atpC	886967	Rv1311	366		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1467315	1467680	+	NP_215827.1	WP_003406708.1		ATP synthase subunit epsilon	atpC	886967	Rv1311	366	121	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1467688	1468131	+						886930	Rv1312	444		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1467688	1468131	+	NP_215828.1	WP_003406722.1		hypothetical protein		886930	Rv1312	444	147	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1468171	1469505	-						886922	Rv1313c	1335		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1468171	1469505	-	NP_215829.1	WP_003900758.1		insertion sequence element IS1557 transposase		886922	Rv1313c	1335	444	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1469671	1470252	-						886925	Rv1314c	582		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1469671	1470252	-	NP_215830.1	WP_003406839.1		cob(I)yrinic acid a,c-diamide adenosyltransferase		886925	Rv1314c	582	193	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1470321	1471577	+					murA	886921	Rv1315	1257		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1470321	1471577	+	NP_215831.1	WP_003406845.1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	886921	Rv1315	1257	418	
gene	ncRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1471619	1471742	+					mcr3	14515894	RVnc0021	124		
ncRNA	other	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1471619	1471742	+				Putative small regulatory RNA	mcr3	14515894	RVnc0021	124		
gene	rRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1471846	1473382	+					rrs	2700429	Rvnr01	1537		
rRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1471846	1473382	+				16S ribosomal RNA	rrs	2700429	Rvnr01	1537		
gene	rRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1473658	1476795	+					rrl	2700466	Rvnr02	3138		
rRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1473658	1476795	+				23S ribosomal RNA	rrl	2700466	Rvnr02	3138		
gene	rRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1476899	1477013	+					rrf	2700459	Rvnr03	115		
rRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1476899	1477013	+				5S ribosomal RNA	rrf	2700459	Rvnr03	115		
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1477134	1477631	-					ogt	886913	Rv1316c	498		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1477134	1477631	-	NP_215832.1	WP_003406857.1		methylated-DNA--protein-cysteine methyltransferase	ogt	886913	Rv1316c	498	165	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1477628	1479118	-					alkA	886916	Rv1317c	1491		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1477628	1479118	-	NP_215833.1	WP_003900313.1		bifunctional regulatory protein/DNA repair enzyme AlkA	alkA	886916	Rv1317c	1491	496	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1479199	1480824	-						886910	Rv1318c	1626		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1479199	1480824	-	NP_215834.1	WP_003406864.1		adenylate cyclase		886910	Rv1318c	1626	541	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1480894	1482501	-						886911	Rv1319c	1608		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1480894	1482501	-	NP_215835.1	WP_003406867.1		adenylate cyclase		886911	Rv1319c	1608	535	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1482514	1484217	-						886906	Rv1320c	1704		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1482514	1484217	-	NP_215836.1	WP_009935613.1		adenylate cyclase		886906	Rv1320c	1704	567	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1484279	1484959	+						886908	Rv1321	681		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1484279	1484959	+	NP_215837.1	WP_010886111.1		endonuclease NucS		886908	Rv1321	681	226	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1484982	1485278	+						886927	Rv1322	297		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1484982	1485278	+	NP_215838.1	WP_003898823.1		hypothetical protein		886927	Rv1322	297	98	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1485313	1485771	-						3205097	Rv1322A	459		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1485313	1485771	-	YP_177643.1	WP_003406879.1		hypothetical protein		3205097	Rv1322A	459	152	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1485862	1487031	+					fadA4	886904	Rv1323	1170		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1485862	1487031	+	NP_215839.1	WP_003898824.1		acetyl-CoA acetyltransferase	fadA4	886904	Rv1323	1170	389	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1487161	1488075	+						886897	Rv1324	915		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1487161	1488075	+	NP_215840.1	WP_003406887.1		thioredoxin		886897	Rv1324	915	304	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1488154	1489965	-					PE_PGRS24	886899	Rv1325c	1812		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1488154	1489965	-	YP_177799.1	WP_010886112.1		PE-PGRS family protein PE_PGRS24	PE_PGRS24	886899	Rv1325c	1812	603	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1490117	1492312	-					glgB	886893	Rv1326c	2196		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1490117	1492312	-	NP_215842.1	WP_003900318.1		1,4-alpha-glucan branching protein	glgB	886893	Rv1326c	2196	731	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1492320	1494425	-					glgE	886895	Rv1327c	2106		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1492320	1494425	-	NP_215843.2	WP_003406897.1		alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	glgE	886895	Rv1327c	2106	701	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1494564	1497155	+					glgP	886886	Rv1328	2592		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1494564	1497155	+	NP_215844.1	WP_003901135.1		glycogen phosphorylase	glgP	886886	Rv1328	2592	863	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1497195	1499189	-					dinG	886889	Rv1329c	1995		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1497195	1499189	-	NP_215845.1	WP_003898827.1		ATP-dependent helicase DinG	dinG	886889	Rv1329c	1995	664	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1499213	1500559	-					pncB1	886884	Rv1330c	1347		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1499213	1500559	-	NP_215846.2	WP_003911483.1		nicotinic acid phosphoribosyltransferase PncB1	pncB1	886884	Rv1330c	1347	448	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1500661	1500966	+						886891	Rv1331	306		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1500661	1500966	+	NP_215847.1	WP_003406906.1		ATP-dependent Clp protease adapter protein ClpS		886891	Rv1331	306	101	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1500926	1501582	+						886901	Rv1332	657		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1500926	1501582	+	NP_215848.1	WP_003898829.1		transcriptional regulator		886901	Rv1332	657	218	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1501599	1502633	+						886882	Rv1333	1035		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1501599	1502633	+	NP_215849.1	WP_003406908.1		hydrolase		886882	Rv1333	1035	344	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1502641	1503081	+					mec	886875	Rv1334	441		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1502641	1503081	+	NP_215850.1	WP_003898830.1		[CysO]-cysteine peptidase	mec	886875	Rv1334	441	146	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1503103	1503384	+					cysO	886879	Rv1335	282		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1503103	1503384	+	NP_215851.1	WP_003406910.1		sulfur carrier protein CysO	cysO	886879	Rv1335	282	93	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1503394	1504365	+					cysM	886867	Rv1336	972		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1503394	1504365	+	NP_215852.1	WP_003406912.1		O-phosphoserine sulfhydrylase	cysM	886867	Rv1336	972	323	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1504356	1505078	+						886870	Rv1337	723		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1504356	1505078	+	NP_215853.1	WP_003898831.1		integral membrane protein		886870	Rv1337	723	240	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1505075	1505890	+					murI	886866	Rv1338	816		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1505075	1505890	+	NP_215854.1	WP_003406919.1		glutamate racemase	murI	886866	Rv1338	816	271	
